Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 14;14283;NA;comprehensive sample;weigh bag 1039;crystalline polymict breccia;1.25
Apollo 14;14284;NA;comprehensive sample;weigh bag 1039;microbreccia;1.47
Apollo 14;14285;NA;comprehensive sample;weigh bag 1039;polymict breccia;2.23
Apollo 14;14286;NA;comprehensive sample;weigh bag 1039;fragmental rock ;4.42
Apollo 14;14287;NA;comprehensive sample;weigh bag 1039;microbreccia;1.07
Apollo 14;14288;NA;comprehensive sample;weigh bag 1039;vitric breccia;3.44
Apollo 14;14294;NA;comprehensive sample;weigh bag 1038;breccia;3.43
Apollo 14;14295;NA;comprehensive sample;weigh bag 1038;polymict breccia;1.24
Apollo 14;14296;NA;comprehensive sample;weigh bag 1038;polymict breccia chip ;2.26
Apollo 14;14297;NA;comprehensive sample;weigh bag 1038;polymict breccia;1.73
Apollo 14;14301;NA;comprehensive sample;weigh bag 1031;polymict breccia;1361
Apollo 14;14302;NA;comprehensive sample;weigh bag 1027;holocrystalline breccia;380
Apollo 14;14303;NA;comprehensive sample;weigh bag 1027;breccia;898
Apollo 14;14304;NA;comprehensive sample;weigh bag 1027;breccia;2499
Apollo 14;14305;NA;comprehensive sample;weigh bag 1027;holocrystalline breccia;2117
Apollo 14;14306;NA;comprehensive sample;weigh bag 1031;breccia;582.8
Apollo 14;14307;NA;comprehensive sample;weigh bag 1031;polymict breccia;155
Apollo 14;14309;NA;comprehensive sample;weigh bag 1031;vitric breccia;42.4
Apollo 14;14310;NA;comprehensive sample;weigh bag 1031;melt rock ;3439
Apollo 14;14311;NA;comprehensive sample;weigh bag 1031;fragmental polymict breccia;3204.4
Apollo 14;14312;NA;comprehensive sample;;polymict breccia;299
Apollo 14;14313;NA;comprehensive sample;documented bag 27N;fragmental polymict breccia;144
Apollo 14;14314;NA;comprehensive sample;;friable polymict breccia;115.7
Apollo 14;14315;NA;comprehensive sample;weigh bag 1038;breccia;115
Apollo 14;14316;NA;comprehensive sample;weigh bag 1038;fragmental breccia;38.2
Apollo 14;14317;NA;comprehensive sample;weigh bag 1038;coherent breccia;16.1
Apollo 14;14318;NA;comprehensive sample;weigh bag 1038;polymict breccia;600.2
Apollo 14;14319;NA;comprehensive sample;weigh bag 1038;polymict breccia;211.6
Apollo 14;14320;NA;comprehensive sample;weigh bag 1038;polymict breccia;64.9
Apollo 14;14321;NA;comprehensive sample;weigh bag 1038;polymict breccia;8998
Apollo 14;14425;NA;bulk sample ;weigh bag 2;glass sphere;0.794
Apollo 14;14426;NA;bulk sample ;weigh bag 2;polymict  breccia;1.58
Apollo 14;14427;NA;bulk sample ;weigh bag 2;clastic rock;4.47
Apollo 14;14428;NA;bulk sample ;weigh bag 2;vesicular breccia;1.47
Apollo 14;14429;NA;bulk sample ;weigh bag 2;vesicular polymict breccia;3.03
Apollo 14;14430;NA;bulk sample ;weigh bag 2;polymict breccia;4.81
Apollo 14;14431;NA;bulk sample ;weigh bag 2;crystalline rock;1.7
Apollo 14;14433;NA;bulk sample ;weigh bag 2;friable polymict breccia;1.23
Apollo 14;14434;NA;bulk sample ;weigh bag 2;coarse grained polymict breccia;1.68
Apollo 14;14435;NA;bulk sample ;weigh bag 2;holocrystalline rock;0.92
Apollo 14;14436;NA;bulk sample ;weigh bag 2;igneous rock;3.76
