Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 15;15013;"15013;94";;1.0;25.66;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;10000.0;0.0;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;4000.0;0.68;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;2000.0;0.95;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;1000.0;1.9;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;500.0;3.25;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;250.0;7.32;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;150.0;9.25;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;90.0;11.87;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;75.0;5.16;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;45.0;14.88;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;20.0;19.71;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;38";;1.0;24.03;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15020;"15021;2";;10000.0;0.0;53.91;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
